번호,상호,주소,기간,휘발유,동
A0020306,지에스칼텍스(주)장수IC주유소,광주 광산구 고봉로 238,2020년 01월 3주,1574.0,장수동
A0020306,지에스칼텍스(주)장수IC주유소,광주 광산구 고봉로 238,2020년 01월 4주,1574.0,장수동
A0020306,지에스칼텍스(주)장수IC주유소,광주 광산구 고봉로 238,2020년 01월 5주,1571.86,장수동
A0020306,지에스칼텍스(주)장수IC주유소,광주 광산구 고봉로 238,2020년 02월 1주,1568.29,장수동
A0020306,지에스칼텍스(주)장수IC주유소,광주 광산구 고봉로 238,2020년 02월 2주,1559.71,장수동
A0020306,지에스칼텍스(주)장수IC주유소,광주 광산구 고봉로 238,2020년 02월 3주,1551.14,장수동
A0020306,지에스칼텍스(주)장수IC주유소,광주 광산구 고봉로 238,2020년 02월 4주,1535.43,장수동
A0020306,지에스칼텍스(주)장수IC주유소,광주 광산구 고봉로 238,2020년 03월 1주,1519.71,장수동
A0020306,지에스칼텍스(주)장수IC주유소,광주 광산구 고봉로 238,2020년 03월 2주,1505.43,장수동
A0020306,지에스칼텍스(주)장수IC주유소,광주 광산구 고봉로 238,2020년 03월 3주,1471.86,장수동
A0020306,지에스칼텍스(주)장수IC주유소,광주 광산구 고봉로 238,2020년 03월 4주,1434.71,장수동
A0020306,지에스칼텍스(주)장수IC주유소,광주 광산구 고봉로 238,2020년 04월 1주,1394.14,장수동
A0020306,지에스칼텍스(주)장수IC주유소,광주 광산구 고봉로 238,2020년 04월 2주,1364.43,장수동
A0020306,지에스칼텍스(주)장수IC주유소,광주 광산구 고봉로 238,2020년 04월 3주,1325.14,장수동
A0020306,지에스칼텍스(주)장수IC주유소,광주 광산구 고봉로 238,2020년 04월 4주,1302.57,장수동
A0020306,지에스칼텍스(주)장수IC주유소,광주 광산구 고봉로 238,2020년 04월 5주,1287.57,장수동
A0020306,지에스칼텍스(주)장수IC주유소,광주 광산구 고봉로 238,2020년 05월 1주,1266.14,장수동
A0020306,지에스칼텍스(주)장수IC주유소,광주 광산구 고봉로 238,2020년 05월 2주,1240.43,장수동
A0020306,지에스칼텍스(주)장수IC주유소,광주 광산구 고봉로 238,2020년 05월 3주,1236.86,장수동
A0020306,지에스칼텍스(주)장수IC주유소,광주 광산구 고봉로 238,2020년 05월 4주,1248.29,장수동
A0020306,지에스칼텍스(주)장수IC주유소,광주 광산구 고봉로 238,2020년 06월 1주,1281.14,장수동
A0020306,지에스칼텍스(주)장수IC주유소,광주 광산구 고봉로 238,2020년 06월 2주,1316.86,장수동
A0020306,지에스칼텍스(주)장수IC주유소,광주 광산구 고봉로 238,2020년 06월 3주,1344.0,장수동
A0020306,지에스칼텍스(주)장수IC주유소,광주 광산구 고봉로 238,2020년 06월 4주,1344.0,장수동
A0020306,지에스칼텍스(주)장수IC주유소,광주 광산구 고봉로 238,2020년 07월 1주,1354.71,장수동
A0020306,지에스칼텍스(주)장수IC주유소,광주 광산구 고봉로 238,2020년 07월 2주,1359.0,장수동
A0020306,지에스칼텍스(주)장수IC주유소,광주 광산구 고봉로 238,2020년 07월 3주,1359.0,장수동
A0020306,지에스칼텍스(주)장수IC주유소,광주 광산구 고봉로 238,2020년 07월 4주,1356.14,장수동
A0020306,지에스칼텍스(주)장수IC주유소,광주 광산구 고봉로 238,2020년 07월 5주,1349.0,장수동
A0020306,지에스칼텍스(주)장수IC주유소,광주 광산구 고봉로 238,2020년 08월 1주,1349.0,장수동
A0020306,지에스칼텍스(주)장수IC주유소,광주 광산구 고봉로 238,2020년 08월 2주,1349.0,장수동
A0020306,지에스칼텍스(주)장수IC주유소,광주 광산구 고봉로 238,2020년 08월 3주,1349.0,장수동
A0020306,지에스칼텍스(주)장수IC주유소,광주 광산구 고봉로 238,2020년 08월 4주,1358.29,장수동
A0020306,지에스칼텍스(주)장수IC주유소,광주 광산구 고봉로 238,2020년 09월 1주,1364.0,장수동
A0020306,지에스칼텍스(주)장수IC주유소,광주 광산구 고봉로 238,2020년 09월 2주,1364.0,장수동
A0020306,지에스칼텍스(주)장수IC주유소,광주 광산구 고봉로 238,2020년 09월 3주,1364.0,장수동
A0020306,지에스칼텍스(주)장수IC주유소,광주 광산구 고봉로 238,2020년 09월 4주,1354.0,장수동
A0020306,지에스칼텍스(주)장수IC주유소,광주 광산구 고봉로 238,2020년 09월 5주,1339.0,장수동
A0020306,지에스칼텍스(주)장수IC주유소,광주 광산구 고봉로 238,2020년 10월 1주,1339.0,장수동
A0020306,지에스칼텍스(주)장수IC주유소,광주 광산구 고봉로 238,2020년 10월 2주,1339.0,장수동
A0020306,지에스칼텍스(주)장수IC주유소,광주 광산구 고봉로 238,2020년 10월 3주,1339.0,장수동
A0020306,지에스칼텍스(주)장수IC주유소,광주 광산구 고봉로 238,2020년 10월 4주,1334.71,장수동
A0020498,(주)에이치에스에너지 장수주유소,광주 광산구 고봉로 239 (장수동),2019년 11월 1주,1519.0,장수동
A0020498,(주)에이치에스에너지 장수주유소,광주 광산구 고봉로 239 (장수동),2019년 11월 2주,1519.0,장수동
A0020498,(주)에이치에스에너지 장수주유소,광주 광산구 고봉로 239 (장수동),2019년 11월 3주,1519.0,장수동
A0020498,(주)에이치에스에너지 장수주유소,광주 광산구 고봉로 239 (장수동),2019년 11월 4주,1519.0,장수동
A0020498,(주)에이치에스에너지 장수주유소,광주 광산구 고봉로 239 (장수동),2019년 12월 1주,1522.57,장수동
A0020498,(주)에이치에스에너지 장수주유소,광주 광산구 고봉로 239 (장수동),2019년 12월 2주,1529.71,장수동
A0020498,(주)에이치에스에너지 장수주유소,광주 광산구 고봉로 239 (장수동),2019년 12월 3주,1534.0,장수동
A0020498,(주)에이치에스에너지 장수주유소,광주 광산구 고봉로 239 (장수동),2019년 12월 4주,1545.43,장수동
